run,groups,unassigned,coverage_rate,mean_chunks_per_group,median_chunks_per_group,std_chunks_per_group,mean_intra_cosine,mean_inter_cosine,gini_group_sizes,max_group_share,silhouette_cosine,chunks,method,topic_similarity,keyword_similarity,mean_summary_chunk_sim,summary_margin,
run_7,7,0,1,8.142857143,5,5.865847191,0.754057295,0.382273234,0.395989975,0.298245614,0.105407386,57,heuristic,0.218998988,0.092955671,0.537723539,0.314221277,
run_8,7,0,1,8.428571429,9,4.531071865,0.791516522,0.396237973,0.295399516,0.288135593,0.283409147,59,heuristic,0.225869221,0.175938422,0.564683447,0.360754824,
run_9,8,0,1,8.25,8.5,4.841229183,0.781247059,0.392252559,0.329545455,0.212121212,0.186646787,66,heuristic,0.095416989,0.134489586,0.597501506,0.35696902,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
